store_name,place,range_money,max_money,star_score_re,posi_nega_score_re,satisfy_score_re,insta_score_re,calm_score_re,service_score_re,picture_url,link_url
炉端 氷炭 薬院本店,天神,"￥4,000～￥4,999",5000,2.15,2.847809638,1.391554054,1.293436293,1.540540541,0.635135135,https://tblg.k-img.com/restaurant/images/Rvw/241205/640x640_rect_84f6b5b9a5660b9314adba5784fba4a7.jpg,https://tabelog.com/fukuoka/A4001/A400103/40035420/
Gaogao,天神,"￥4,000～￥4,999",5000,2.15,4.49756287,1.716858238,1.699507389,1.459770115,1.189655172,https://tblg.k-img.com/restaurant/images/Rvw/227068/640x640_rect_a667d58cf0f78b155ff3c5ee63ab7026.jpg,https://tabelog.com/fukuoka/A4001/A400103/40051337/
食堂うめぼし 天神南,天神,"￥3,000～￥3,999",4000,2.15,4.180456708,1.753373016,0.884353741,1.238095238,1.333333333,https://tblg.k-img.com/restaurant/images/Rvw/268917/640x640_rect_8bbd70a0cad74bfe9a54f063efd0e554.jpg,https://tabelog.com/fukuoka/A4001/A400103/40060894/
今泉いっこん,天神,"￥8,000～￥9,999",10000,2.15,4.599470824,1.723333333,1.607142857,2.625,1.625,https://tblg.k-img.com/restaurant/images/Rvw/264720/640x640_rect_e942c22e88cf81202dfa8788c58b9eab.jpg,https://tabelog.com/fukuoka/A4001/A400103/40064394/
博多もつ鍋 しば田,天神,"￥4,000～￥4,999",5000,2.15,4.441855784,1.802304965,0.714285714,1.531914894,0.925531915,https://tblg.k-img.com/restaurant/images/Rvw/241337/640x640_rect_f0734bdd7e51135a6d2fb1bffc6bceea.jpg,https://tabelog.com/fukuoka/A4001/A400103/40035933/
もつ鍋専門店 元祖 もつ鍋 楽天地 西中洲店,天神,"￥4,000～￥4,999",5000,2.1,3.652335606,1.366798942,0.941043084,1.079365079,1.293650794,https://tblg.k-img.com/restaurant/images/Rvw/82775/640x640_rect_82775470.jpg,https://tabelog.com/fukuoka/A4001/A400103/40004594/
焼鳥 あたらよ,天神,"￥5,000～￥5,999",6000,2.1,4.085389798,1.405527211,2.755102041,2.224489796,1.826530612,https://tblg.k-img.com/restaurant/images/Rvw/261664/640x640_rect_30f12cf19c90540346aa6ff6ffa8eb52.jpg,https://tabelog.com/fukuoka/A4001/A400103/40055192/
ピッツェリア トラットリア ダ・ボッチャーノ,天神,"￥4,000～￥4,999",5000,2.1,3.239008192,1.974096386,1.058519793,1.361445783,1.463855422,https://tblg.k-img.com/restaurant/images/Rvw/260950/640x640_rect_564c8b1726bd4cf261886c1a1d7d2320.jpg,https://tabelog.com/fukuoka/A4001/A400103/40060558/
博多金鯖,天神,"￥4,000～￥4,999",5000,2.1,4.359113274,1.78974359,0.897435897,1.192307692,0.628205128,https://tblg.k-img.com/restaurant/images/Rvw/259355/640x640_rect_ec65e5d395bf825c4b314572fa445eb2.jpg,https://tabelog.com/fukuoka/A4001/A400103/40035359/
ビアキチ,天神,"￥2,000～￥2,999",3000,2.1,4.181580126,2.129464286,1.224489796,1.089285714,1.035714286,https://tblg.k-img.com/restaurant/images/Rvw/256123/640x640_rect_9ae385c281cb7ce23dc3a706afede597.jpg,https://tabelog.com/fukuoka/A4001/A400103/40051753/
